# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Leesburg,VA,39.1157,-77.5636,47673
Lehi,UT,40.3916,-111.8508,54382
Lenexa,KS,38.9536,-94.7336,50344
Leominster,MA,42.5251,-71.7598,41002
Lewisville,TX,33.0462,-96.9942,101074
Lexington-Fayette,KY,38.0406,-84.5037,308428
Lima,OH,40.7426,-84.1052,38355
Lincoln,CA,38.8916,-121.293,45237
Lincoln,NE,40.8258,-96.6852,268738
Lincoln Park,MI,42.2506,-83.1785,37313
Linden,NJ,40.622,-74.2446,41301
Little Rock,AR,34.7465,-92.2896,197357
Littleton,CO,39.6133,-105.0166,44275
Livermore,CA,37.6819,-121.768,85156
Livonia,MI,42.3684,-83.3527,95208
Lodi,CA,38.1341,-121.2722,63338
Logan,UT,41.737,-111.8338,48913
Lombard,IL,41.88,-88.0078,43907
Lompoc,CA,34.6392,-120.4579,43509
Long Beach,CA,33.7701,-118.1937,469428
Longmont,CO,40.1672,-105.1019,89919
Longview,TX,32.5007,-94.7405,81443
Lorain,OH,41.4528,-82.1824,63710
Los Angeles,CA,34.0522,-118.2437,3884307
Louisville,KY,38.2527,-85.7585,609893
Loveland,CO,40.3978,-105.075,71334
Lowell,MA,42.6334,-71.3162,108861
Lubbock,TX,33.5779,-101.8552,239538
Lynchburg,VA,37.4138,-79.1422,78014
Lynn,MA,42.4668,-70.9495,91589
Lynwood,CA,33.9303,-118.2115,71371
Macon,GA,32.8407,-83.6324,89981
Madera,CA,36.9613,-120.0607,63105
Madison,AL,34.6993,-86.7483,45799
Madison,WI,43.0731,-89.4012,243344
Malden,MA,42.4251,-71.0662,60509
Manassas,VA,38.7509,-77.4753,41705
Manchester,NH,42.9956,-71.4548,110378
Manhattan,KS,39.1836,-96.5717,56143
Mankato,MN,44.1636,-93.9994,40641
Mansfield,OH,40.7584,-82.5154,46454
Mansfield,TX,32.5632,-97.1417,60872
Manteca,CA,37.7974,-121.2161,71948
Maple Grove,MN,45.0725,-93.4558,65415
Maplewood,MN,44.953,-92.9952,39765
Marana,AZ,32.4364,-111.2224,38290
Margate,FL,26.2445,-80.2064,55456
Maricopa,AZ,33.0581,-112.0476,45508
Marietta,GA,33.9526,-84.5499,59089
Marlborough,MA,42.3459,-71.5523,39414
Martinez,CA,38.0194,-122.1341,37165
Marysville,WA,48.0518,-122.1771,63269
McAllen,TX,26.2034,-98.23,136639
McKinney,TX,33.1972,-96.6398,148559
Medford,MA,42.4184,-71.1062,57170
Medford,OR,42.3265,-122.8756,77677
Melbourne,FL,28.0836,-80.6081,77508
Memphis,TN,35.1495,-90.049,653450
Menifee,CA,33.6971,-117.1853,83447
Mentor,OH,41.6662,-81.3396,46979
Merced,CA,37.3022,-120.483,81102
Meriden,CT,41.5382,-72.807,60456
Meridian,ID,43.6121,-116.3915,83596
Meridian,MS,32.3643,-88.7037,40921
Mesa,AZ,33.4152,-111.8315,457587
Mesquite,TX,32.7668,-96.5992,143484
Methuen,MA,42.7262,-71.1909,48514
Miami,FL,25.7617,-80.1918,417650
Miami Beach,FL,25.7907,-80.13,91026
Miami Gardens,FL,25.942,-80.2456,111378
Middletown,CT,41.5623,-72.6506,47333
Middletown,OH,39.5151,-84.3983,48630
Midland,MI,43.6156,-84.2472,42181
Midland,TX,31.9973,-102.0779,123933
Midwest City,OK,35.4495,-97.3967,56756
Milford,CT,41.2307,-73.064,51644
Milpitas,CA,37.4323,-121.8996,69783
Milwaukee,WI,43.0389,-87.9065,599164
Minneapolis,MN,44.9778,-93.265,400070
Minnetonka,MN,44.9212,-93.4687,51368
Minot,ND,48.233,-101.2923,46321
Miramar,FL,25.9861,-80.3036,130288
Mishawaka,IN,41.662,-86.1586,47989
Mission,TX,26.2159,-98.3253,81050
Mission Viejo,CA,33.6,-117.672,96346
Missoula,MT,46.8787,-113.9966,69122
Missouri City,TX,29.6186,-95.5377,70185
Mobile,AL,30.6954,-88.0399,194899
Modesto,CA,37.6391,-120.9969,204933
Moline,IL,41.5067,-90.5151,43116
Monroe,LA,32.5093,-92.1193,49761
Monrovia,CA,34.1443,-118.0019,37101
Montclair,CA,34.0775,-117.6898,38027
Montebello,CA,34.0165,-118.1138,63495
